msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
G7TmHc9Gg2t8ovG/KFaB53We/0CQPELhZ5UUN2Ol3AQ=,39,30,149,149,1,2015-09-30,2015-11-13,0
LPbp8N7VRuqEISEVim8ppTaeYJG/rWS/t4g/dEFuWjw=,34,30,149,149,1,2016-02-29,2016-03-31,0
xvYqULBWzJvN8heyFtY3hbY3egyQNbXuDx0igtsoi00=,29,30,180,180,1,2017-01-31,2017-03-01,0
UR4iin4mAkajoa7o+AyTTmz5k3N2GR3/rZY8a4KwADI=,41,30,99,99,1,2017-01-31,2017-02-28,0
ax8CRhY8BMRA/ZvT1wI+2N/EdPXiSPGxa9y7bntA1Uc=,40,30,149,149,1,2016-05-04,2016-06-08,0
WVvX79O7F711lq3bs7oeY7qABdKbKzmA4S9uXCsmnlE=,41,0,0,119,1,2015-05-09,2015-06-09,0
AtfKQBDbS6cJf+YV7DC0U9De00B4bI0GrtBR12GGyzg=,41,30,99,99,1,2016-06-26,2016-07-26,0
S3OL/X0jkfampWCkwzWRps//YoxDdPIx8o/iwHmschg=,37,30,149,149,1,2015-11-01,2015-11-30,0
xDdNp65JYgYhw0J3MWVmc3o+WXBJrUUZTptR/O4Sa3Q=,41,30,99,99,1,2016-12-21,2017-01-21,0
hkzv+lPPu9khL+mN2XnK6GaqUzv4gbaGE03XgjlEFAA=,38,30,149,149,0,2015-09-15,2015-10-15,0
aY7xQ3JZintC6/UB8wG44a1AeC+xV7wCP9Y00Xa/YK8=,41,0,0,149,1,2015-05-12,2015-06-12,0
KXYTIBDuiV6lBvRhp77HoodjbfGZdNbq/0hEF2LHXnA=,35,7,0,0,0,2016-10-27,2016-11-03,0
K68T1t5hSCZblH7SgkyVa+72SibVvHKIWqVsQxYNZ4g=,34,30,149,149,1,2016-08-31,2016-09-30,0
7lpNpjOSEdsp89rOvE4jeE9BLo05AbJ1+/5VQGPhizw=,39,0,0,149,1,2015-04-30,2015-06-07,0
WDudUny6SWdbGi80gM8cBYc2nRGc+P3IOo7ba35QZEE=,41,30,129,129,1,2016-03-24,2016-04-24,0
vUx1d45NMflaJwNVZm6OJTyBWBRdUbSh/OpCrv1Q/6A=,41,30,149,149,1,2015-01-15,2015-02-15,0
BZFo2LgUEtWirczFtbJHCa84m22082GBqrhQiM7Bi7Y=,40,30,149,149,1,2016-03-22,2016-04-21,0
CNVTd5cNoA6WRxMf7VveVwYyrOoDgFs5xmm1122qQNc=,41,30,149,149,1,2015-05-21,2016-07-21,0
AKYIr9wXtHlE/536l5MvS/C50BnvKI9V3Fz+qBqsODM=,36,30,180,180,1,2016-09-30,2016-11-06,0
fsAV7lrLHL+zpbFi8fSQuL+D0lEL9egGqK0h4ObEYhk=,40,30,149,149,1,2016-11-09,2016-12-08,0
bkGMRCI5tAocpM9xRodpd1RWATfWLjZF5YyrTEFJBv4=,41,30,149,149,1,2016-06-17,2016-07-17,0
FPOsB56ZdTTDyqt6JhnQFHV/SnP6n+Ez4mhnKSKnzIw=,41,30,99,99,1,2016-03-21,2016-04-21,0
qNy6PNwGFOvqFFoy46MvzUyNb2TNG6ZCj5ESgGs4vTY=,41,30,129,129,1,2016-09-04,2016-10-04,0
rWjb+rE01gX4eosI6moRu9Tbpznw57IZXcZKUykl/Os=,40,30,149,149,1,2016-12-09,2017-01-09,0
HD80ZgQ9yb1bseB1xuOAMm5LyntKluvI3L0fKpmqzNI=,41,30,149,149,1,2015-03-15,2015-04-15,0
y1iX+o1Kx0xIZIkcQqR0HDHO9LgbKK6ShUaTR6ktt/8=,41,30,99,99,1,2016-05-10,2016-06-10,0
SoHEFUOvvAy91yFufe/vm77qky0ST96A1tznkmzL2zk=,41,30,99,99,1,2016-08-15,2016-09-15,0
DLrh9IFb0lizY5FC5lDo9/4p4loqQGrADinmPWZ0V6U=,41,30,149,149,1,2015-03-23,2015-04-23,0
hobT6RHxBZ7QbZ/yQJiHyrjYpBO4T5r5OjNgjwUvYIA=,41,30,129,129,1,2015-02-03,2015-03-04,0
6pl/eJdw2NjDjus8b46MkNTDlqp2TRWaHmDE80nL1h8=,41,30,149,119,1,2015-02-27,2015-03-27,0
fq0LWcH6qQerntsk+zO1HMKD1aM4gSn1VRTyTG9+eIw=,37,30,149,149,1,2016-07-11,2016-08-10,0
VbQontpw/1648bNWqhA6uguwVIUZ1XVXB3dElSu3ueU=,41,30,99,99,1,2016-04-07,2016-05-07,0
MT86zRDyUPbFKyMq4QzzQ/L3gwn4leBGyETg3Cr/GGU=,41,30,99,99,1,2016-12-25,2017-01-25,0
Msz0it/wbJ/JX3B2mduaAtN/cFecwqpQWCcIkrF1on8=,40,30,149,149,1,2015-10-04,2015-11-03,0
kA7JMc6Q6nAFw1fgcs0hejCw4xXaGUzB/eq+M5n21wQ=,41,30,149,149,1,2016-09-01,2016-11-08,0
cpyXS843rY8y7SQ0Y/xAXyv2jABCTtsdvsfBdkYzPuU=,41,30,149,149,1,2015-08-25,2015-09-25,0
A+bRmzS48fOnWuL/8vg5ZSy0+Y4skbPHozQNHBkR5uQ=,39,30,149,149,1,2015-09-30,2015-11-21,0
gKMpUn3fFEIC4iQlpdS7yFookCSqKmdGY0yPxj1SfNs=,41,30,149,149,1,2015-06-02,2015-07-03,0
i6l25dAEr3Gd39wIrG2EsiIr3hsYOxqa/xRq5eyyidA=,38,30,149,149,0,2017-01-20,2017-02-19,0
TyGvrC/2pp29VTYNEcsYtGyM/H2tyYaL6GHP8scRddA=,40,30,149,149,1,2015-11-15,2015-12-17,0
Er4+2kIRsq+PgdHKDG8jRd4xoZaq4Ecdr9XE/iHFOcs=,41,30,149,149,1,2016-06-26,2016-07-26,0
SKV0Ma6o+U+V0yR9tdad+/LkHDOk6BcTTySae9dPSlw=,41,30,149,149,1,2015-03-31,2015-05-01,0
K68T1t5hSCZblH7SgkyVa+72SibVvHKIWqVsQxYNZ4g=,34,30,149,149,1,2016-02-29,2016-03-31,0
