id,order_id,product_id,add_to_cart_order,reordered,product_name,aisle_id,department_id,department,user_id,order_time
24,623,33120,1,1,Organic Egg Whites,86,16,dairy eggs,37804,2015-01-04 12:00:00
25,623,40706,3,1,Organic Grape Tomatoes,123,4,produce,37804,2015-01-04 12:00:00
26,623,38777,5,1,Organic Green Seedless Grapes,123,4,produce,37804,2015-01-04 12:00:00
27,623,34126,9,1,Organic Italian Parsley Bunch,16,4,produce,37804,2015-01-04 12:00:00
28,623,19678,4,1,Organic Russet Potato,83,4,produce,37804,2015-01-04 12:00:00
29,623,10749,11,1,Organic Red Bell Pepper,83,4,produce,37804,2015-01-04 12:00:00
30,623,27521,2,1,Organic Lacinato (Dinosaur) Kale,83,4,produce,37804,2015-01-04 12:00:00
31,623,4562,6,1,English Seedless Cucumber,83,4,produce,37804,2015-01-04 12:00:00
32,623,47788,7,1,Honeydew Melon,24,4,produce,37804,2015-01-04 12:00:00
33,623,14575,8,1,Organic Cello Lettuce,83,4,produce,37804,2015-01-04 12:00:00
34,623,32052,10,1,Organic Brown Rice Cake Salt-Free,78,19,snacks,37804,2015-01-04 12:00:00
35,726,33120,3,1,Organic Egg Whites,86,16,dairy eggs,57362,2015-01-08 17:00:00
36,726,32655,5,1,Organic Large Grade AA Brown Eggs,86,16,dairy eggs,57362,2015-01-08 17:00:00
37,726,17794,4,1,Carrots,83,4,produce,57362,2015-01-08 17:00:00
38,726,31915,2,1,Organic Red Delicious Apple,24,4,produce,57362,2015-01-08 17:00:00
39,726,25181,6,1,Fragrance Free Automatic Dishwasher Tablets,74,17,household,57362,2015-01-08 17:00:00
40,726,46737,7,1,2x Ultra Liquid Laundry Detergent,75,17,household,57362,2015-01-08 17:00:00
41,726,24489,1,1,Organic Whole Strawberries,116,1,frozen,57362,2015-01-08 17:00:00
183,10084,33120,10,1,Organic Egg Whites,86,16,dairy eggs,6851,2015-01-12 22:00:00
184,10084,432,11,1,Vanilla Almond Breeze Almond Milk,91,16,dairy eggs,6851,2015-01-12 22:00:00
185,10084,21903,8,1,Organic Baby Spinach,123,4,produce,6851,2015-01-12 22:00:00
186,10084,13176,7,1,Bag of Organic Bananas,24,4,produce,6851,2015-01-12 22:00:00
187,10084,47766,6,1,Organic Avocado,24,4,produce,6851,2015-01-12 22:00:00
188,10084,21137,14,0,Organic Strawberries,24,4,produce,6851,2015-01-12 22:00:00
189,10084,35547,9,1,Organic Baby Kale,83,4,produce,6851,2015-01-12 22:00:00
190,10084,39275,13,1,Organic Blueberries,123,4,produce,6851,2015-01-12 22:00:00
191,10084,5876,5,1,Organic Lemon,24,4,produce,6851,2015-01-12 22:00:00
192,10084,19057,12,1,Organic Large Extra Fancy Fuji Apple,24,4,produce,6851,2015-01-12 22:00:00
193,10084,36702,4,1,Active Electrolyte Enhanced Drink Tabs 10 Servings Tri-Berry,47,11,personal care,6851,2015-01-12 22:00:00
194,10084,4352,1,1,Beverage Tab Wild Berry,47,11,personal care,6851,2015-01-12 22:00:00
195,10084,40589,3,1,Lemonlime Electrolyte Tabs,90,7,beverages,6851,2015-01-12 22:00:00
196,10084,20574,2,1,Roasted Turkey,96,20,deli,6851,2015-01-12 22:00:00
318,13368,33120,4,1,Organic Egg Whites,86,16,dairy eggs,37804,2015-01-07 18:00:00
319,13368,39275,1,1,Organic Blueberries,123,4,produce,37804,2015-01-07 18:00:00
320,13368,40706,8,1,Organic Grape Tomatoes,123,4,produce,37804,2015-01-07 18:00:00
321,13368,6873,7,1,Organic Iceberg Lettuce,83,4,produce,37804,2015-01-07 18:00:00
322,13368,10749,5,1,Organic Red Bell Pepper,83,4,produce,37804,2015-01-07 18:00:00
323,13368,27521,6,1,Organic Lacinato (Dinosaur) Kale,83,4,produce,37804,2015-01-07 18:00:00
324,13368,4562,9,1,English Seedless Cucumber,83,4,produce,37804,2015-01-07 18:00:00
325,13368,10974,3,1,Gluten Free Rice & Shine Hot Cereal,130,14,breakfast,37804,2015-01-07 18:00:00
326,13368,24489,2,1,Organic Whole Strawberries,116,1,frozen,37804,2015-01-07 18:00:00
391,18214,33120,1,1,Organic Egg Whites,86,16,dairy eggs,37804,2015-01-30 19:00:00
392,18214,30391,2,1,Organic Cucumber,83,4,produce,37804,2015-01-30 19:00:00
393,18214,6873,6,0,Organic Iceberg Lettuce,83,4,produce,37804,2015-01-30 19:00:00
394,18214,7500,4,1,Organic Vanilla Extract,17,13,pantry,37804,2015-01-30 19:00:00
395,18214,39562,5,0,"Baking Soda Toothpowder, Dazzling Mint",20,11,personal care,37804,2015-01-30 19:00:00
396,18214,10974,3,1,Gluten Free Rice & Shine Hot Cereal,130,14,breakfast,37804,2015-01-30 19:00:00
641,26249,33120,5,1,Organic Egg Whites,86,16,dairy eggs,8167,2015-01-08 11:00:00
642,26249,20842,3,1,Total 0% Greek Yogurt,120,16,dairy eggs,8167,2015-01-08 11:00:00
643,26249,21903,6,1,Organic Baby Spinach,123,4,produce,8167,2015-01-08 11:00:00
644,26249,21137,7,1,Organic Strawberries,24,4,produce,8167,2015-01-08 11:00:00
645,26249,49683,1,1,Cucumber Kirby,83,4,produce,8167,2015-01-08 11:00:00
646,26249,8277,4,1,Apple Honeycrisp Organic,24,4,produce,8167,2015-01-08 11:00:00
647,26249,45007,2,1,Organic Zucchini,83,4,produce,8167,2015-01-08 11:00:00
648,26249,10343,8,1,Teriyaki Chicken Bowl,38,1,frozen,8167,2015-01-08 11:00:00
649,26249,19174,9,1,Chicken Enchilada Bowl,38,1,frozen,8167,2015-01-08 11:00:00
1078,41962,33120,5,1,Organic Egg Whites,86,16,dairy eggs,57362,2015-01-23 17:00:00
1079,41962,12384,11,1,Organic Lactose Free 1% Lowfat Milk,91,16,dairy eggs,57362,2015-01-23 17:00:00
1080,41962,23955,23,0,Vanilla Soy Milk,91,16,dairy eggs,57362,2015-01-23 17:00:00
1081,41962,27086,9,1,Half & Half,53,16,dairy eggs,57362,2015-01-23 17:00:00
1082,41962,46820,10,1,Vanilla Pure Almond Milk,91,16,dairy eggs,57362,2015-01-23 17:00:00
1083,41962,21903,21,0,Organic Baby Spinach,123,4,produce,57362,2015-01-23 17:00:00
1084,41962,13176,1,1,Bag of Organic Bananas,24,4,produce,57362,2015-01-23 17:00:00
