id,engine_no,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,time
60949,248,140,35.0004,0.84,100.0,449.44,555.99,1375.55,1136.7,5.48,8.0,193.59,2222.81,8337.25,1.02,42.25,182.12,2387.86,8057.92,9.3674,0.02,334,2223,100.0,14.73,8.9475,2001-02-27 06:10:00
60950,248,141,24.9981,0.6215,60.0,462.54,536.91,1270.01,1062.1,7.05,9.03,174.97,1915.2,8003.73,0.94,36.84,164.44,2028.17,7866.52,10.9247,0.02,307,1915,84.93,14.21,8.4852,2001-02-27 06:20:00
60951,248,142,42.0061,0.8418,100.0,445.0,550.02,1356.17,1126.39,3.91,5.72,138.44,2211.69,8312.43,1.02,42.37,130.24,2387.75,8072.23,9.4103,0.02,331,2212,100.0,10.42,6.3023,2001-02-27 06:30:00
60952,248,143,35.0039,0.84,100.0,449.44,556.15,1375.31,1135.78,5.48,8.0,193.83,2222.82,8349.51,1.02,42.2,182.85,2387.86,8056.53,9.3385,0.02,336,2223,100.0,15.02,8.9751,2001-02-27 06:40:00
60953,248,144,20.0024,0.7,100.0,491.19,607.34,1487.79,1262.19,9.35,13.66,333.51,2324.04,8722.58,1.08,44.73,313.78,2388.16,8053.99,9.2722,0.03,367,2324,100.0,24.22,14.5655,2001-02-27 06:50:00
60954,248,145,41.9995,0.8416,100.0,445.0,549.85,1354.95,1140.49,3.91,5.71,138.9,2211.67,8320.38,1.02,42.33,130.59,2387.73,8070.89,9.4324,0.02,333,2212,100.0,10.38,6.2255,2001-02-27 07:00:00
60955,248,146,34.9986,0.84,100.0,449.44,555.72,1372.0,1131.87,5.48,8.0,193.88,2222.82,8346.42,1.02,42.49,182.97,2387.88,8058.86,9.3756,0.02,336,2223,100.0,14.73,8.7966,2001-02-27 07:10:00
60956,248,147,42.0028,0.8419,100.0,445.0,550.12,1365.0,1127.0,3.91,5.71,138.58,2211.66,8308.57,1.02,42.52,130.09,2387.73,8072.05,9.4042,0.02,331,2212,100.0,10.49,6.2898,2001-02-27 07:20:00
60957,248,148,42.0035,0.8414,100.0,445.0,549.7,1362.22,1136.75,3.91,5.72,138.61,2211.67,8316.0,1.02,42.36,130.24,2387.71,8076.64,9.4026,0.02,332,2212,100.0,10.53,6.3262,2001-02-27 07:30:00
60958,248,149,35.0035,0.8408,100.0,449.44,555.94,1371.45,1146.13,5.48,8.0,194.05,2222.81,8346.34,1.02,42.1,182.53,2387.91,8064.22,9.3812,0.02,335,2223,100.0,14.7,8.9525,2001-02-27 07:40:00
60959,248,150,9.9983,0.2513,100.0,489.05,605.7,1502.62,1326.91,10.52,15.5,394.17,2319.1,8769.95,1.26,45.9,371.06,2388.24,8124.96,8.6881,0.03,372,2319,100.0,28.21,16.9503,2001-02-27 07:50:00
60960,248,151,10.0078,0.25,100.0,489.05,605.14,1511.35,1316.0,10.52,15.5,393.36,2319.09,8766.71,1.26,45.87,371.05,2388.29,8119.99,8.7041,0.03,371,2319,100.0,28.26,17.1139,2001-02-27 08:00:00
60961,248,152,19.9994,0.7,100.0,491.19,608.38,1492.69,1260.89,9.35,13.66,333.29,2324.01,8721.19,1.08,44.6,314.83,2388.2,8044.76,9.2778,0.03,368,2324,100.0,24.32,14.5848,2001-02-27 08:10:00
60962,248,153,35.0021,0.84,100.0,449.44,556.67,1373.86,1138.62,5.48,8.0,193.42,2222.82,8346.28,1.02,42.43,182.46,2387.83,8058.91,9.3862,0.02,337,2223,100.0,14.69,8.8165,2001-02-27 08:20:00
60963,248,154,25.0058,0.6218,60.0,462.54,537.21,1266.83,1060.13,7.05,9.03,175.15,1915.23,8002.75,0.94,36.99,164.08,2028.12,7871.14,10.9387,0.02,309,1915,84.93,14.21,8.5545,2001-02-27 08:30:00
60964,248,155,10.0037,0.2517,100.0,489.05,604.88,1509.49,1321.99,10.52,15.5,393.43,2319.09,8773.57,1.26,45.85,370.91,2388.29,8118.61,8.7109,0.03,372,2319,100.0,28.29,17.1246,2001-02-27 08:40:00
