id,engine_no,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,time
270,1,271,0.001,0.0018,100.0,518.67,643.01,1591.11,1395.6,14.62,21.58,558.87,2388.14,9083.32,1.3,47.28,526.98,2388.12,8157.56,8.3141,0.03,393,2388,100.0,39.26,23.528,2000-01-02 21:00:00
401,2,81,0.0004,0.0,100.0,518.67,642.88,1581.74,1398.46,14.62,21.61,553.87,2388.07,9050.1,1.3,47.38,521.79,2387.98,8134.7,8.4092,0.03,392,2388,100.0,39.08,23.3215,2000-01-03 18:50:00
810,3,191,41.9983,0.84,100.0,445.0,549.13,1352.21,1122.64,3.91,5.7,139.61,2212.1,8333.04,1.03,41.92,131.7,2388.18,8098.8,9.2919,0.02,330,2212,100.0,10.64,6.4525,2000-01-06 15:00:00
66,1,67,35.0054,0.84,100.0,449.44,555.43,1351.45,1109.9,5.48,7.98,193.43,2222.81,8339.26,1.02,41.55,182.41,2387.89,8062.45,9.3215,0.02,333,2223,100.0,14.9,9.0315,2000-01-01 11:00:00
328,2,8,0.0023,0.0019,100.0,518.67,642.23,1576.51,1391.71,14.62,21.61,554.29,2387.97,9045.29,1.3,47.31,521.72,2388.07,8135.66,8.3894,0.03,392,2388,100.0,38.95,23.4243,2000-01-03 06:40:00
324,2,4,42.0077,0.84,100.0,445.0,548.77,1345.81,1116.64,3.91,5.71,138.82,2211.84,8313.96,1.02,41.71,130.67,2387.88,8079.41,9.32,0.02,330,2212,100.0,10.5,6.2818,2000-01-03 06:00:00
630,3,11,20.0006,0.7001,100.0,491.19,607.29,1471.84,1246.09,9.35,13.63,335.76,2323.92,8720.29,1.08,44.13,316.17,2388.05,8066.31,9.1688,0.02,363,2324,100.0,24.63,14.8258,2000-01-05 09:00:00
72,1,73,34.9996,0.8401,100.0,449.44,554.68,1354.64,1124.58,5.48,7.98,193.48,2222.83,8334.68,1.02,41.52,182.67,2387.85,8058.77,9.3464,0.02,331,2223,100.0,14.88,8.9067,2000-01-01 12:00:00
127,1,128,10.0046,0.2511,100.0,489.05,604.17,1495.57,1298.72,10.52,15.47,393.9,2318.69,8768.8,1.26,45.24,371.27,2387.87,8128.9,8.6257,0.03,368,2319,100.0,28.71,17.1948,2000-01-01 21:10:00
640,3,21,25.0041,0.62,60.0,462.54,536.51,1254.59,1039.83,7.05,9.01,175.77,1915.4,8011.57,0.94,36.53,164.78,2028.29,7872.85,10.8288,0.02,305,1915,84.93,14.27,8.5881,2000-01-05 10:40:00
405,2,85,41.999,0.84,100.0,445.0,549.44,1351.79,1119.04,3.91,5.71,139.66,2211.91,8315.88,1.02,41.79,130.7,2388.01,8081.55,9.3426,0.02,329,2212,100.0,10.64,6.4411,2000-01-03 19:30:00
842,3,223,24.9995,0.62,60.0,462.54,536.45,1262.18,1040.55,7.05,9.01,176.05,1915.5,8019.42,0.94,36.59,165.48,2028.44,7886.87,10.7664,0.02,308,1915,84.93,14.45,8.5002,2000-01-06 20:20:00
295,1,296,35.0006,0.84,100.0,449.44,555.73,1361.84,1133.92,5.48,7.98,198.19,2223.41,8383.27,1.04,42.27,185.92,2388.51,8096.76,9.1701,0.02,335,2223,100.0,15.02,8.9899,2000-01-03 01:10:00
67,1,68,0.0001,0.0,100.0,518.67,641.78,1581.16,1390.67,14.62,21.58,552.27,2387.91,9044.67,1.3,46.91,520.44,2387.95,8130.78,8.4128,0.03,392,2388,100.0,39.14,23.4225,2000-01-01 11:10:00
490,2,170,20.0005,0.7,100.0,491.19,607.17,1482.24,1256.17,9.35,13.65,335.02,2323.94,8719.72,1.08,44.2,315.42,2387.99,8057.82,9.2014,0.02,364,2324,100.0,24.77,14.6756,2000-01-04 09:40:00
178,1,179,42.0047,0.84,100.0,445.0,549.11,1347.88,1123.64,3.91,5.7,138.42,2211.96,8316.48,1.02,41.81,130.04,2388.03,8080.95,9.329,0.02,328,2212,100.0,10.44,6.4344,2000-01-02 05:40:00
179,1,180,35.0016,0.84,100.0,449.44,555.76,1364.07,1111.2,5.48,7.97,193.45,2222.88,8339.09,1.02,41.49,182.27,2387.92,8067.05,9.2474,0.02,330,2223,100.0,14.88,8.8841,2000-01-02 05:50:00
641,3,22,10.0041,0.25,100.0,489.05,604.54,1496.8,1293.02,10.52,15.48,395.82,2318.88,8785.15,1.26,45.29,373.15,2388.06,8137.32,8.6058,0.03,367,2319,100.0,28.77,17.1484,2000-01-05 10:50:00
70,1,71,10.0061,0.25,100.0,489.05,603.79,1491.5,1300.18,10.52,15.46,393.13,2318.68,8762.49,1.26,44.93,370.13,2387.85,8123.16,8.6166,0.03,367,2319,100.0,28.65,17.2694,2000-01-01 11:40:00
397,2,77,42.0005,0.8405,100.0,445.0,549.13,1347.13,1118.85,3.91,5.71,139.05,2211.92,8311.54,1.02,41.9,130.99,2387.93,8079.25,9.329,0.02,330,2212,100.0,10.59,6.3295,2000-01-03 18:10:00
535,2,215,9.9983,0.2504,100.0,489.05,604.34,1501.55,1315.23,10.52,15.49,394.27,2318.89,8780.41,1.26,45.46,371.26,2388.18,8132.84,8.6418,0.03,369,2319,100.0,28.51,17.1078,2000-01-04 17:10:00
473,2,153,35.0024,0.8406,100.0,449.44,555.37,1354.39,1123.45,5.48,8.0,194.92,2222.84,8348.73,1.02,41.6,182.85,2387.96,8066.59,9.306,0.02,335,2223,100.0,14.85,9.0613,2000-01-04 06:50:00
781,3,162,10.0078,0.2517,100.0,489.05,604.62,1499.92,1306.21,10.52,15.48,397.21,2318.93,8791.36,1.26,45.23,374.66,2388.16,8142.85,8.5831,0.03,369,2319,100.0,28.68,17.2962,2000-01-06 10:10:00
782,3,163,0.0027,0.0,100.0,518.67,642.25,1585.88,1397.26,14.62,21.6,557.69,2388.04,9064.9,1.3,47.38,525.98,2388.1,8151.62,8.3576,0.03,393,2388,100.0,39.1,23.4735,2000-01-06 10:20:00
